Model,Subset Accuracy (mean),Subset Accuracy (std),F1-Micro (mean),F1-Micro (std),F1-Macro (mean),F1-Macro (std)
K-Means,0.8288,0.0183,0.9535,0.0033,0.9532,0.0029
GMM,0.8303,0.0149,0.9285,0.0085,0.9345,0.0102
